exposure_id,archive,site,start,ra_deg,dec_deg,launch_id,launch_datetime_utc,launch_date_utc,rocket,flight_number,launch_site,outcome,delta_days,source_url,classification,geometric_visibility
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38275,Harvard DASCH,DASCH historical observing site unresolved,1955-09-19 00:21:37.700008957+00:00,307.3626552499677,22.432142614034248,L0383,,1955-09-19,R-5M,,Kapustin Yar,Successful[22],0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38277,Harvard DASCH,DASCH historical observing site unresolved,1955-09-19 01:43:24.299989556+00:00,307.0126968665245,22.17643418285617,L0383,,1955-09-19,R-5M,,Kapustin Yar,Successful[22],0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38285,Harvard DASCH,DASCH historical observing site unresolved,1955-10-11 00:22:53.300001233+00:00,306.996116056563,22.21657893360865,L0411,1955-10-11T14:33:00Z,1955-10-11,Deacon Rockoon,SUI 52,"USS Staten Island, southern Davis Strait",Launch failure,0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc38285,Harvard DASCH,DASCH historical observing site unresolved,1955-10-11 00:22:53.300001233+00:00,306.996116056563,22.21657893360865,L0412,1955-10-11T14:37:00Z,1955-10-11,Deacon Rockoon,NRL Rockoon 18,"USS Staten Island, southern Davis Strait",Successful,0,https://en.wikipedia.org/wiki/1955_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/mc37619,Harvard DASCH,DASCH historical observing site unresolved,1953-07-18 04:09:28.799986158+00:00,316.2064307960022,14.336305442956348,L0144,1953-07-18T22:27:00Z,1953-07-18,Deacon Rockoon,SUI 8,"USS Staten Island, Atlantic Ocean, 50 kilometres (31 mi) east of Boston",Launch failure,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/ir12235,Harvard DASCH,DASCH historical observing site unresolved,1953-11-01 01:06:03.300016383+00:00,335.2141566663503,5.995476707710787,L0183,,1953-11-01,R-1,,Kapustin Yar,Successful[11],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04130,Harvard DASCH,DASCH historical observing site unresolved,1952-10-23 00:58:37.299999504+00:00,335.9185111354324,5.299322917605331,L0099,1952-10-23T03:45:00Z,1952-10-23,Aerobee XASR-SC-2,SC 26,White Sands LC-35,Successful,0,https://en.wikipedia.org/wiki/1952_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04655,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 01:14:10.899989295+00:00,335.8508620516037,4.998795270796693,L0185,,1953-11-03,R-5,,Kapustin Yar,Successful[10],0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/j04655,Harvard DASCH,DASCH historical observing site unresolved,1953-11-03 01:14:10.899989295+00:00,335.8508620516037,4.998795270796693,L0186,1953-11-03T18:15:00Z,1953-11-03,Aerobee RTV-A-1a,USAF 45,Holloman LC-A,Successful,0,https://en.wikipedia.org/wiki/1953_in_spaceflight,date_screen_only,not_evaluated
DASCH:ivo://org.gavo.dc/~?dasch/q/b75798,Harvard DASCH,DASCH historical observing site unresolved,1951-06-25 20:29:38.900000448+00:00,298.0538193099366,-4.77741476545858,L0027,,1951-06-25,R-1,,Kapustin Yar,Successful[2],0,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
