pair_index,canonical_pair,cell_ira,cell_idec,cell_size_deg,query_ra_deg,query_dec_deg,query_radius_deg,ordinary_j2016_margin_arcsec,maxrec,if_maxrec_hit,registration_epoch_utc
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,461,0.25,289.375,25.375,0.20183760076781318,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,481,0.25,289.375,30.375,0.1984687469935588,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,483,0.25,289.375,30.875,0.1981068279960684,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,486,0.25,289.375,31.625,0.19755603274839237,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,490,0.25,289.375,32.625,0.19680730356251205,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,494,0.25,289.375,33.625,0.196042826269893,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1157,496,0.25,289.375,34.125,0.19565490461406765,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1158,469,0.25,289.625,27.375,0.2005468054165028,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1158,470,0.25,289.625,27.625,0.20037998413903432,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1158,497,0.25,289.625,34.375,0.1954595628621472,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1159,461,0.25,289.875,25.375,0.20183760076781318,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1159,479,0.25,289.875,29.875,0.19882634773272512,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1160,462,0.25,290.125,25.625,0.201680589220852,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
2,APPLAUSE:13623 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05607,1160,467,0.25,290.125,26.875,0.2008768534339827,120.0,50000,subdivide cell into four recursively down to 0.03125 deg; transport-only,1952-08-14T21:11:08.500000+00:00
