raw_match_row,population,v078_catalog_recurrence_class,selection_role,physical_plate_id,archive_family,archive_id,archive_names,institutes,representative_exposure_start_utc,seconds_from_science_epoch,coverage_class,edge_distance_arcsec,scan_id,filename_scan,expected_file_size,fits_checksum,solution_id,solution_num,v078_plate_recurrence_class,v078_nearest_separation_arcsec
293328,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,89595,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-12-04T18:50:00+00:00,165661.5,COVERED_INTERIOR,0.0,114131,DR4/scans/Bamberg-North/012688_1953_h.fits,174888000,SFRMUCPMSCPMSCPM,111428,1,NO_SOURCE_WITHIN_15_ARCSEC,
293343,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,53653,BAMBERG,206,Zeiss Objective (South Africa),"Dr. Karl Remeis-Sternwarte, Bamberg",1965-02-04T18:15:00+00:00,352675561.5,COVERED_INTERIOR,0.0,60366,DR4/scans/Bamberg-South/011634_1965_h.fits,176094720,faUhiURZfZRffZRZ,37315,1,DIAGNOSTIC_GT3_LE5,3.0030012016529555
293343,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7665,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-11-10T22:11:59+00:00,-1895819.5,COVERED_INTERIOR,0.0,9959,DR4/scans/HAM-LA/LA08142_x.fits,428077440,AbbaAZaYAaaaAYaW,14552,1,NO_SOURCE_WITHIN_15_ARCSEC,
293343,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7691,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-12-28T18:42:18+00:00,2238799.5,COVERED_INTERIOR,0.0,10008,DR4/scans/HAM-LA/LA08171_x.fits,427161600,2hTl4eRk2eRk2eRk,14612,1,NO_SOURCE_WITHIN_15_ARCSEC,
293343,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_BEFORE,89097,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1953-03-05T19:49:00+00:00,-23504398.5,COVERED_INTERIOR,0.0,113642,DR4/scans/Bamberg-North/012160_1953_h.fits,174444480,8KLaAJJY2JJa8JJY,110998,1,NO_SOURCE_WITHIN_15_ARCSEC,
293343,PRIMARY_424,DIAGNOSTIC_RECURRENCE_ONLY,SENSITIVITY_NEGATIVE_BAMBERG_AFTER,90160,BAMBERG,208,"Astrograph, Bamberg Northern Sky Patrol","Dr. Karl Remeis-Sternwarte, Bamberg",1958-12-02T00:05:00+00:00,157691761.5,COVERED_INTERIOR,0.0,114694,DR4/scans/Bamberg-North/013251_1958_h.fits,174444480,1eHe4cHc1cHc1cHc,112089,1,NO_SOURCE_WITHIN_15_ARCSEC,
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,POSITIVE_STRICT_RECURRENCE_CONTROL,53484,BAMBERG,206,Zeiss Objective (South Africa),"Dr. Karl Remeis-Sternwarte, Bamberg",1964-11-26T23:23:00+00:00,346646041.5,COVERED_INTERIOR,0.0,60247,DR4/scans/Bamberg-South/011465_1964_h.fits,175919040,SJPkS9PiSGPiS9Pi,37144,1,STRICT_LE3,1.3369953985317862
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,19280,HAMBURG,103,1m-Spiegelteleskop (Hamburg),Hamburger Sternwarte,1939-02-13T19:36:18+00:00,-467082760.5,COVERED_INTERIOR,0.0,22189,DR4/scans/HAM-ST/S05639_y.fits,415598400,9d3SHa1Q9a1QEa1Q,54957,1,DIAGNOSTIC_GT3_LE5,3.5476109887440295
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_BEFORE,7665,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1953-11-10T22:11:59+00:00,-1895819.5,COVERED_INTERIOR,0.0,9959,DR4/scans/HAM-LA/LA08142_x.fits,428077440,AbbaAZaYAaaaAYaW,14552,1,NO_SOURCE_WITHIN_15_ARCSEC,
293349,PRIMARY_424,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,7804,HAMBURG,101,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1954-03-30T19:42:55+00:00,10191236.5,COVERED_INTERIOR,0.0,10186,DR4/scans/HAM-LA/LA08287_x.fits,429632640,laQpnVNnlZNnlZNn,14871,1,NO_SOURCE_WITHIN_15_ARCSEC,
