scan_id,filename_scan,physical_plate_id,archive_id,expected_file_size,fits_checksum,candidate_ids,selection_roles,candidate_count_using_scan,filename_scan_raw,scan_basename,normalized_repository_relative_scan,scan_reference_source,plate_page_url,plate_page_cached,plate_page_refetched_v079b,plate_page_exact_basename_present,resolved_scan_url,url_resolution_method,range_probe_ok,range_probe_http_status,range_probe_content_range,range_probe_content_length,range_probe_reported_total_bytes,range_probe_expected_size_match,range_probe_error,url_resolution_status,local_path,actual_file_size,sha256,download_status,download_attempts
10005,DR4/scans/HAM-LA/LA08169_y.fits,7689,101,1320575040,YL7dZL6cYL6cYL6c,294052,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1,DR4/scans/HAM-LA/LA08169_y.fits,LA08169_y.fits,DR4/scans/HAM-LA/LA08169_y.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7689/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08169_y.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1320575040,2880,1320575040,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10005/LA08169_y.fits,1320575040,1cc9bc3b73fc633818b473fb9b971dbb68e43d400d061387f8b47adda8f862ad,COMPLETE,1
10008,DR4/scans/HAM-LA/LA08171_x.fits,7691,101,427161600,2hTl4eRk2eRk2eRk,293343;293614;293985,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,3,DR4/scans/HAM-LA/LA08171_x.fits,LA08171_x.fits,DR4/scans/HAM-LA/LA08171_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7691/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08171_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427161600,2880,427161600,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10008/LA08171_x.fits,427161600,4a538ec21b91b9ddfe5062077dc46f49da2645c2a4fca7a1d9e328209339f7cf,COMPLETE,1
10030,DR4/scans/HAM-LA/LA08184_x.fits,7703,101,427161600,9Hf4DGe49Ge4CGe4,294130,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1,DR4/scans/HAM-LA/LA08184_x.fits,LA08184_x.fits,DR4/scans/HAM-LA/LA08184_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7703/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08184_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427161600,2880,427161600,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10030/LA08184_x.fits,427161600,80e652cdbafdd95b374e2a6fff28b0b189d9a8628667690f974a1fdcea9880a9,COMPLETE,1
10085,DR4/scans/HAM-LA/LA08217_x.fits,7736,101,427161600,b5WCc2TBb2TBb2TB,293892,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1,DR4/scans/HAM-LA/LA08217_x.fits,LA08217_x.fits,DR4/scans/HAM-LA/LA08217_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7736/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08217_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427161600,2880,427161600,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10085/LA08217_x.fits,427161600,670eec06ad2b2fcc985319169ba5280181afa9e715479c446ee6190583c4aadc,COMPLETE,1
10186,DR4/scans/HAM-LA/LA08287_x.fits,7804,101,429632640,laQpnVNnlZNnlZNn,293349;293995;294096,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,3,DR4/scans/HAM-LA/LA08287_x.fits,LA08287_x.fits,DR4/scans/HAM-LA/LA08287_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7804/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08287_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/429632640,2880,429632640,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10186/LA08287_x.fits,429632640,1b8d7aad8f3d6f954dad959e74142acd85d4318344a1945d112608a36caa964d,COMPLETE,1
10190,DR4/scans/HAM-LA/LA08293_x.fits,7810,101,427711680,TY9oVX7mTX7mTX7m,293672,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA08293_x.fits,LA08293_x.fits,DR4/scans/HAM-LA/LA08293_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7810/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08293_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427711680,2880,427711680,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10190/LA08293_x.fits,427711680,4f8699d2be19ec5b54f7565b3730cffa0ca7cfe899c39809874232932449a764,COMPLETE,1
10240,DR4/scans/HAM-LA/LA08347_x.fits,7863,101,427161600,ahYcdZVaafVaaZVa,293903,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1,DR4/scans/HAM-LA/LA08347_x.fits,LA08347_x.fits,DR4/scans/HAM-LA/LA08347_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_7863/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08347_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427161600,2880,427161600,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10240/LA08347_x.fits,427161600,15f1ead1866150a2a204fac36dfe0557c2aa84b23fb4ef1d809616e4109c3830,COMPLETE,1
10815,DR4/scans/HAM-LA/LA08773_x.fits,8285,101,430007040,WPFJZMEJWMEJWMEJ,293470,SENSITIVITY_NEGATIVE_HAMBURG_AFTER,1,DR4/scans/HAM-LA/LA08773_x.fits,LA08773_x.fits,DR4/scans/HAM-LA/LA08773_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_8285/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08773_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/430007040,2880,430007040,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10815/LA08773_x.fits,430007040,aab2cf028f4c1f0accb6925ae8e63ff960c838eec6ac209bad5fa8c2cb9c3d06,COMPLETE,1
10960,DR4/scans/HAM-LA/LA08860_x.fits,8369,101,425269440,JOUfLLSZJLSdJLSZ,293470,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA08860_x.fits,LA08860_x.fits,DR4/scans/HAM-LA/LA08860_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_8369/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA08860_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/425269440,2880,425269440,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/10960/LA08860_x.fits,425269440,da238740630198c318ec065b70d2f6d3302a5517732b0abc1e09d09b19a48848,COMPLETE,1
21463,DR4/scans/HAM-ST/S04887_y.fits,18509,103,416111040,BcIcBaFbBaFbBaFb,293995,POSITIVE_STRICT_RECURRENCE_CONTROL,1,DR4/scans/HAM-ST/S04887_y.fits,S04887_y.fits,DR4/scans/HAM-ST/S04887_y.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/103_18509/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-ST/S04887_y.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/416111040,2880,416111040,True,,RESOLVED,work/pair17_pixel_followup_v079/scans/21463/S04887_y.fits,416111040,f63f36c3b9160e4b53756fb03bf64fb7971966d948a60b2acbbdb4cbd7111ce2,COMPLETE,1
