raw_match_row,population,physical_plate_id,scan_id,archive_id,filename_scan,observatory,series,science_series,same_science_series,coverage_class,edge_distance_arcsec,exposure_index,exposure_start_utc,exposure_end_utc,exposure_duration_seconds,timing_source,relation_to_common_overlap,gap_seconds,gap_hours,comparison_overlap_seconds,file_size,fits_checksum,already_acquired_v079,within_1h,within_2h,within_6h,within_24h
293118,PRIMARY_424,90655,115188,208,DR4/scans/Bamberg-North/013746_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-02-14T18:10:00+00:00,1959-02-14T19:10:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,164150312.0,45597.30888888889,0.0,174444480,5iVE6iTD5iTD5iTD,False,False,False,False,False
293118,PRIMARY_424,90713,115244,208,DR4/scans/Bamberg-North/013804_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-03-02T18:25:00+00:00,1959-03-02T19:25:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,165533612.0,45981.55888888889,0.0,174888000,2TDA3QC92QCA2QC7,False,False,False,False,False
293118,PRIMARY_424,91665,116196,208,DR4/scans/Bamberg-North/014756_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-09-13T02:21:00+00:00,1959-09-13T03:21:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,182323772.0,50645.49222222222,0.0,174444480,0AfU38dT0AdT05dT,False,False,False,False,False
293118,PRIMARY_424,91821,116352,208,DR4/scans/Bamberg-North/014912_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-01T03:05:00+00:00,1959-10-01T04:05:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,183881612.0,51078.22555555555,0.0,174888000,9gklHgki9gkiEgki,False,False,False,False,False
293118,PRIMARY_424,91857,116388,208,DR4/scans/Bamberg-North/014948_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-02T03:05:00+00:00,1959-10-02T04:05:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,183968012.0,51102.22555555555,0.0,174156480,gakCgYh9gahCgYh9,False,False,False,False,False
293118,PRIMARY_424,91892,116423,208,DR4/scans/Bamberg-North/014983_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-03T03:04:00+00:00,1959-10-03T04:04:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,184054352.0,51126.20888888889,0.0,174444480,6haf9fXZ6fad6fWZ,False,False,False,False,False
293118,PRIMARY_424,91972,116503,208,DR4/scans/Bamberg-North/015063_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-06T03:02:00+00:00,1959-10-06T04:02:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,184313432.0,51198.17555555556,0.0,174888000,9AabD9VZ9AZaC9ZY,True,False,False,False,False
293118,PRIMARY_424,92008,116539,208,DR4/scans/Bamberg-North/015099_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-07T03:00:00+00:00,1959-10-07T04:00:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,184399712.0,51222.142222222225,0.0,174156480,8aEAAUD21aD98UD9,False,False,False,False,False
293118,PRIMARY_424,92044,116575,208,DR4/scans/Bamberg-North/015135_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-08T03:01:00+00:00,1959-10-08T04:01:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,184486172.0,51246.15888888889,0.0,174444480,PccFQbaEPbaEPbaE,False,False,False,False,False
293118,PRIMARY_424,92081,116612,208,DR4/scans/Bamberg-North/015172_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-09T03:00:00+00:00,1959-10-09T04:00:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,184572512.0,51270.142222222225,0.0,174888000,VqOeVoLZVoLdVoLZ,False,False,False,False,False
293118,PRIMARY_424,92116,116647,208,DR4/scans/Bamberg-North/015207_1959_h.fits,BAMBERG,Bamberg-North,Bamberg-North,True,COVERED_INTERIOR,0.0,1,1959-10-10T03:00:00+00:00,1959-10-10T04:00:00+00:00,3600.0,CACHED_UT_END,FOLLOWING,184658912.0,51294.142222222225,0.0,174156480,SeDEUZCCSbCCSZCC,False,False,False,False,False
