adjudication_order,pair_key,endpoint_a,endpoint_b,window_arcmin,minimum_same_gaia_common_refs,model,clipping,higher_order,sparse_fallback_only_if_primary_lt5_at_30arcmin
24,APPLAUSE:131918 | DASCH:ivo://org.gavo.dc/~?dasch/q/am28316,DASCH:am28316:exp0,APPLAUSE:131918,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
25,APPLAUSE:131772 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05468,DASCH:bi05468:exp0,APPLAUSE:131772,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
26,APPLAUSE:132099 | DASCH:ivo://org.gavo.dc/~?dasch/q/mf40301,DASCH:mf40301:exp0,APPLAUSE:132099,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
27,APPLAUSE:11819 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05361,DASCH:bi05361:exp0,APPLAUSE:11819,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
28,APPLAUSE:13877 | APPLAUSE:139431,APPLAUSE:139431,APPLAUSE:13877,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
29,APPLAUSE:13876 | APPLAUSE:139430,APPLAUSE:139430,APPLAUSE:13876,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
29,APPLAUSE:13876 | APPLAUSE:139430,APPLAUSE:139430,APPLAUSE:13876,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
29,APPLAUSE:13876 | APPLAUSE:139430,APPLAUSE:139430,APPLAUSE:13876,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
29,APPLAUSE:13876 | APPLAUSE:139430,APPLAUSE:139430,APPLAUSE:13876,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,APPLAUSE:139532,DASCH:j04686:exp0,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,APPLAUSE:139532,DASCH:j04686:exp0,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,APPLAUSE:139532,DASCH:j04686:exp0,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
30,APPLAUSE:139532 | DASCH:ivo://org.gavo.dc/~?dasch/q/j04686,APPLAUSE:139532,DASCH:j04686:exp0,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,APPLAUSE:11790,DASCH:b75711:exp0,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,APPLAUSE:11790,DASCH:b75711:exp0,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,APPLAUSE:11790,DASCH:b75711:exp0,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
31,APPLAUSE:11790 | DASCH:ivo://org.gavo.dc/~?dasch/q/b75711,APPLAUSE:11790,DASCH:b75711:exp0,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
32,APPLAUSE:12405 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12405,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
32,APPLAUSE:12405 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12405,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
32,APPLAUSE:12405 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12405,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
32,APPLAUSE:12405 | APPLAUSE:131662,APPLAUSE:131662,APPLAUSE:12405,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12471,5,5,TRANSLATION_MEDIAN_ONLY,False,False,True
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12471,10,5,TRANSLATION_MEDIAN_ONLY,False,False,True
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12471,20,5,TRANSLATION_MEDIAN_ONLY,False,False,True
33,APPLAUSE:12471 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12471,30,5,TRANSLATION_MEDIAN_ONLY,False,False,True
