adjudication_order,pair_key,endpoint_a,endpoint_b,shift_radius_arcsec,direction,unit_dx,unit_dy,gate_3arcsec,gate_10arcsec,population_null_not_individual_rejection
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,120,S,0,-1,True,True,True
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,120,SW,-1,-1,True,True,True
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,120,W,-1,0,True,True,True
8,APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,DASCH:bi05459:exp0,APPLAUSE:12469,120,NW,-1,1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,N,0,1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,NE,1,1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,E,1,0,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,SE,1,-1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,S,0,-1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,SW,-1,-1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,W,-1,0,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,60,NW,-1,1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,N,0,1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,NE,1,1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,E,1,0,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,SE,1,-1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,S,0,-1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,SW,-1,-1,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,W,-1,0,True,True,True
9,APPLAUSE:12563 | APPLAUSE:139010,APPLAUSE:12563,APPLAUSE:139010,120,NW,-1,1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,N,0,1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,NE,1,1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,E,1,0,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,SE,1,-1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,S,0,-1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,SW,-1,-1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,W,-1,0,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,60,NW,-1,1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,N,0,1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,NE,1,1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,E,1,0,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,SE,1,-1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,S,0,-1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,SW,-1,-1,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,W,-1,0,True,True,True
10,APPLAUSE:12566 | APPLAUSE:139011,APPLAUSE:139011,APPLAUSE:12566,120,NW,-1,1,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,N,0,1,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,NE,1,1,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,E,1,0,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,SE,1,-1,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,S,0,-1,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,SW,-1,-1,True,True,True
11,APPLAUSE:12569 | APPLAUSE:139012,APPLAUSE:139012,APPLAUSE:12569,60,W,-1,0,True,True,True
