scan_id,solution_num,rows,relative_path,size_bytes,sha256
107979,1,676,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107979_solution_1.npz,46448,fc0bcad8c3b7944629d097fd174af249ab0888cd749eb8ad3ac706f439a4fe4b
107980,1,8746,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107980_solution_1.npz,484185,2c86c18281b227b82623d29ebe48f1606f6341a6e708c223abba85dcfc7195f4
107985,1,958,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107985_solution_1.npz,65363,470887dbbae0693a83ff2cac1edc80e05b61eb577969bf05b0f26dac0cb70cc0
107986,1,228,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_107986_solution_1.npz,20186,7840df7e99cfb87d983fa2e85ed20f164b11f57298891370125fd702a9966938
108037,1,6076,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108037_solution_1.npz,352563,c5541ba6f17ee596bfdcb42e6fedb6753ba350354f285c67405b9b4651407e4e
108099,1,0,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108099_solution_1.npz,4286,69ae9fc069bb8185a251b01289c62bcbb0320322990b2f62e541620cfbec951b
108107,1,13197,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108107_solution_1.npz,728115,4080307d79735246cc43453d0dba35056710a329ebe149cb61b8d210c0b89005
108203,1,16426,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108203_solution_1.npz,907669,6680044ff3be55ca571f78317ddeedd27f50a756908805e320d810b05ac6e63d
108208,1,6057,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108208_solution_1.npz,337280,d838edbaf64923fa4be3bff47d867f7a112ad69a60efaad3b5f5d70b10c91629
108213,1,5118,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_108213_solution_1.npz,298900,4b348b585480de0d890ca3c36d23a317867fb032e8e673d787f06f8003835db6
