scan_id,relative_path,size_bytes,sha256
6078,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6078.npz,636718,fac2cd361fe36c2a66bc46a7c461d948047ca580665a932ee75da99f25a74250
6079,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6079.npz,622701,ca292ad4b89367a7e67e9cf0a57813e4b28a80b93e1726131d1b7541c9cfaa39
6080,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6080.npz,630067,07f45a995ad9575184cfea27463d794f6f2538dc9a0cafb3ebfb69437379bd71
6081,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6081.npz,667473,e80f47aa80df269143efeb22a7c4ef88af37b1b2b4f1d6b28262fc17c4ff5349
6082,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6082.npz,655042,6cae3364f970e28279728e6fdb37c37ee763d36ffd9ff5981ee5dcc40b2df042
6083,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6083.npz,575156,6176bc48f62028a9e9bd370d480cae4420ac62ecd6d0de082f51bbaccbe1408b
6084,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6084.npz,561878,89b32b51be069b19c1aa288cb917538c67938c6c92a3208dd9180148b856e71c
6085,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6085.npz,622719,ec53f2a0b13cb4ca93d6954057feccb9ac28bf8a0d98a809570c87ad7d2e4968
6086,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6086.npz,599838,6eb7cd80291ce1d13b8078813687e230ac1ee9ab122c0c8ee3c0ec049070a5d8
6087,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6087.npz,559959,dd3496957f6831025d8319e98d4840f35b9c6f63ab635d92c01cff8614edf521
6088,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6088.npz,557321,2a4aa6d7abac9754406f65162ff6c56b0438649a2b23cccece3559aeeb57ab9f
6089,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6089.npz,577562,14a5278e60172e826c62f3fb51a59b0006086ea747d157bbe17c8bb06bf31704
6090,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6090.npz,557009,a1960914851735e7385a8980d88571d8511d918548206dae2cc36e9e27489261
6091,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6091.npz,563053,241546b119fccc696f2139d73768db43f0efea9978451304b8ef0f756b402e16
6092,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6092.npz,549986,b16be608e62b606744072c8a05ec79071960e97ddcf4d8795c92b088bcea9457
6108,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6108.npz,247432,e0dbc9f8494bee2e214ce787c57a4da581a91f5d5182d6846f6cf7c3e7d12206
6109,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6109.npz,219463,b4885f69cb4b4f5799f030dc282f3ee61321dd9a548ae711e61d9cc718daa839
6110,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6110.npz,228474,4cc24a709685365fc8966adba7e4f69ae303a9c0a69760a202999169935a65b9
6111,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6111.npz,202516,bca6bd16902f94733699ca2754100f064348de0e999c4202991b361d870d489f
6112,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6112.npz,329187,ed6592781e8060adc257bcb7bab1f91c6b075e1181f7a1d028544420476108bf
6113,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6113.npz,302742,26dc6ec818435b40e7bcffa8db9876445af3c69b3ef830d81434108601e9c300
6114,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6114.npz,276994,c2cda18f0d9020b0ca3981f1ba39d94cc195b3cfd2b8dec32463dde809bd7ddd
6115,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6115.npz,260810,c92010cb3527ad75f3dd211cbe4826d5dd406d032d18e9983f09fe8f5ace0b1e
6116,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6116.npz,184528,31e3a126172264af6ce93623886eaab940614e94fd15fe6bb68b03fc41d2d9a2
6117,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6117.npz,171641,7c81e770cb6aa676de2262e7a0324a8cd921d401758c6609959a64e2110bcced
6132,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6132.npz,728458,1d4a2fb13cac2f2b6795dcad3413d01540edabc07197589d46be6ec617022d83
6133,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_6133.npz,749760,33aa06e620825b3a196d9ecaa99bccc92c19908a89108cfeddc455667cc220d2
8742,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_8742.npz,4121622,3d0a13f7b8f8bf1055bcc2007b75b385e7fbdffde0828ecef3dab97fa8592c4e
8743,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_8743.npz,4042185,3db4b41bfc55b7e6e4ab68790f6bcbe2aed8a08e5acc26c631621f061ffd3e45
8744,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_8744.npz,4297451,de58dea795b4b801eef315d8aec249027407f55a88b6f6555c457329d04e6f4f
8745,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_8745.npz,4243556,458bc13010b3458dfb9cfe8f9e3e81b20fd502e33218c1541bc6b4e40ad20c53
8746,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_8746.npz,4873456,1dbd51961635b8851ab27ffb4fd0689601b285931f8406231f08401f0313ae76
8747,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_8747.npz,4758415,af167faf33551fa9558c252f70b7e5b782842f3bf8809a42a1dec765f987e95b
9172,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9172.npz,3692921,86fb20727d7d8c45a36697baf37bb2a3d302c1b74ac8a3aaff97ba7b273b38fc
9173,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9173.npz,3687825,67a3319aad5aee94728ce63f686c2cb5668e79d7ac78df94f5264965251f2370
9174,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9174.npz,3678021,0a0456326621ef61c36109b02858dd5bd24661e9c55b5c159ae4cf73e1828ae5
9175,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9175.npz,3664923,0bf4a9f7f42b5bf2a6c26b353d107be016484b3e425da5bba8c2f10a87aac496
9176,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9176.npz,3552343,64eb055a7612de425a20e09dbebdbfd8647e3b5c450a2b087eb5d3b00e815212
9177,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9177.npz,3473280,2e42be6fcf24f24bbbafe7d8f3c2e5da797e944b2e830987f23d855e4a45ad75
9421,work/applause_dr4_tierA_busko_source_census_v094b/source_scan_minimal_npz/scan_9421.npz,3827260,c3af3393fddc0d5ff3fa080d858705eebe6abf7afbb0f9267bea14492650a44f
