canonical_pair,direction,endpoint_a,endpoint_b,pair_index,position_angle_deg_east_of_north,primary_corrected_le3,primary_loo_crosses_gt3,primary_loo_robust_corrected_le3,primary_raw_gt3_to_corrected_le3,primary_raw_le3_to_corrected_gt3,primary_raw_le3_to_corrected_le3,primary_registered,primary_window_10arcmin,primary_window_20arcmin,primary_window_30arcmin,primary_window_5arcmin,raw_control_le10_associations,raw_control_le3_associations,shift_radius_arcsec,sparse_diagnostic_corrected_le3,sparse_diagnostic_registered,unregistered
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SW,DASCH:bi05352:exp0,APPLAUSE:11788,4,225.0,15,14,1,14,7,1,114,13,40,61,0,200,18,60.0,7,85,1
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,W,DASCH:bi05352:exp0,APPLAUSE:11788,4,270.0,17,15,2,15,8,2,143,10,59,74,0,222,19,60.0,8,77,2
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,E,DASCH:bi05352:exp0,APPLAUSE:11788,4,90.0,9,8,1,7,12,2,145,14,63,68,0,258,22,120.0,4,113,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,N,DASCH:bi05352:exp0,APPLAUSE:11788,4,0.0,7,7,0,4,15,3,154,17,63,74,0,259,29,120.0,7,103,2
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NE,DASCH:bi05352:exp0,APPLAUSE:11788,4,45.0,10,10,0,7,14,3,125,12,49,64,0,224,21,120.0,6,99,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NW,DASCH:bi05352:exp0,APPLAUSE:11788,4,315.0,10,10,0,8,11,2,149,7,74,68,0,235,18,120.0,5,85,1
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,S,DASCH:bi05352:exp0,APPLAUSE:11788,4,180.0,3,3,0,2,4,1,102,5,42,55,0,198,16,120.0,9,95,1
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SE,DASCH:bi05352:exp0,APPLAUSE:11788,4,135.0,11,8,3,8,9,3,157,15,57,85,0,263,23,120.0,10,104,2
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SW,DASCH:bi05352:exp0,APPLAUSE:11788,4,225.0,9,9,0,7,12,2,150,9,62,79,0,254,30,120.0,12,104,0
APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,W,DASCH:bi05352:exp0,APPLAUSE:11788,4,270.0,12,12,0,9,7,3,129,10,53,66,0,218,18,120.0,12,89,0
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,E,DASCH:bi05352:exp0,APPLAUSE:11787,5,90.0,10,9,1,10,7,0,158,17,64,77,0,236,11,60.0,5,78,0
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,N,DASCH:bi05352:exp0,APPLAUSE:11787,5,0.0,9,9,0,8,9,1,114,14,54,46,0,202,15,60.0,6,87,1
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NE,DASCH:bi05352:exp0,APPLAUSE:11787,5,45.0,13,12,1,8,8,5,136,18,56,62,0,247,25,60.0,8,111,0
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NW,DASCH:bi05352:exp0,APPLAUSE:11787,5,315.0,10,10,0,8,14,2,141,12,61,68,0,244,22,60.0,8,102,1
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,S,DASCH:bi05352:exp0,APPLAUSE:11787,5,180.0,9,9,0,5,8,4,112,7,46,59,0,209,26,60.0,13,95,2
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SE,DASCH:bi05352:exp0,APPLAUSE:11787,5,135.0,13,13,0,11,9,2,109,6,44,59,0,210,24,60.0,7,100,1
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SW,DASCH:bi05352:exp0,APPLAUSE:11787,5,225.0,15,14,1,14,7,1,114,13,40,61,0,200,18,60.0,7,85,1
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,W,DASCH:bi05352:exp0,APPLAUSE:11787,5,270.0,17,15,2,15,8,2,143,10,59,74,0,222,19,60.0,8,77,2
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,E,DASCH:bi05352:exp0,APPLAUSE:11787,5,90.0,9,8,1,7,12,2,145,14,63,68,0,258,22,120.0,4,113,0
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,N,DASCH:bi05352:exp0,APPLAUSE:11787,5,0.0,7,7,0,4,15,3,154,17,63,74,0,259,29,120.0,7,103,2
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NE,DASCH:bi05352:exp0,APPLAUSE:11787,5,45.0,10,10,0,7,14,3,125,12,49,64,0,224,21,120.0,6,99,0
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,NW,DASCH:bi05352:exp0,APPLAUSE:11787,5,315.0,10,10,0,8,11,2,149,7,74,68,0,235,18,120.0,5,85,1
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,S,DASCH:bi05352:exp0,APPLAUSE:11787,5,180.0,3,3,0,2,4,1,102,5,42,55,0,198,16,120.0,9,95,1
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SE,DASCH:bi05352:exp0,APPLAUSE:11787,5,135.0,11,8,3,8,9,3,157,15,57,85,0,263,23,120.0,10,104,2
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,SW,DASCH:bi05352:exp0,APPLAUSE:11787,5,225.0,9,9,0,7,12,2,150,9,62,79,0,254,30,120.0,12,104,0
APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,W,DASCH:bi05352:exp0,APPLAUSE:11787,5,270.0,12,12,0,9,7,3,129,10,53,66,0,218,18,120.0,12,89,0
APPLAUSE:12565 | APPLAUSE:139011,E,APPLAUSE:12565,APPLAUSE:139011,6,90.0,24,13,11,4,15,20,354,81,107,66,100,386,38,60.0,3,32,0
APPLAUSE:12565 | APPLAUSE:139011,N,APPLAUSE:12565,APPLAUSE:139011,6,0.0,36,24,12,18,11,18,325,56,120,69,80,359,33,60.0,4,34,0
