rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,center_sep_deg,overlap_fraction_smaller,interval_overlap_s,involves_poss,score,true_wcs_overlap_fraction_poss_approx,true_wcs_intersection
35,POSS-I:449:O,POSS-I Palomar,Palomar Observatory,1951-12-22 03:55:00+00:00,600.0,39.82375,42.62861111111111,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/fa15108,Harvard DASCH,DASCH unresolved,1951-12-22 03:32:59.999981305+00:00,3420.0,36.868575239552136,33.90034504006082,90.5736769626732,1.4999996833333331,9.029729486409105,1.0,600.0,True,85,1.0,True
36,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02650,Harvard DASCH,DASCH unresolved,1951-11-05 09:00:00.000015085+00:00,3540.0,73.2049660876676,35.704631511762955,81.44691522558925,POSS-I:415:O,POSS-I Palomar,Palomar Observatory,1951-11-05 09:26:00+00:00,600.0,86.03333333333335,12.066111111111113,6.5,1.4999997333333333,26.32766824115184,1.0,600.0,True,85,1.0,True
37,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43439,Harvard DASCH,DASCH unresolved,1951-11-05 09:00:00.000015085+00:00,3540.0,87.13449994796758,19.66539037379509,91.09555336369024,POSS-I:415:O,POSS-I Palomar,Palomar Observatory,1951-11-05 09:26:00+00:00,600.0,86.03333333333335,12.066111111111113,6.5,1.4999997333333333,7.6726097402242655,1.0,600.0,True,85,1.0,True
38,POSS-I:558:O,POSS-I Palomar,Palomar Observatory,1952-08-20 07:24:00+00:00,600.0,313.7295833333333,12.552222222222223,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43708,Harvard DASCH,DASCH unresolved,1952-08-20 07:02:59.999994720+00:00,3420.0,336.6776827816166,-7.496542363580271,91.04898060804746,2.4999999,30.366261992868832,1.0,600.0,True,85,1.0,True
39,POSS-I:305:O,POSS-I Palomar,Palomar Observatory,1951-08-06 07:37:00+00:00,600.0,313.8558333333333,0.5533333333333333,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02473,Harvard DASCH,DASCH unresolved,1951-08-06 07:30:59.999985109+00:00,1740.0,313.9240088291386,35.43875041524412,77.88966612038239,3.49999975,34.885474858500295,1.0,600.0,True,85,0.8405,True
40,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44291,Harvard DASCH,DASCH unresolved,1954-03-27 04:00:00.000006076+00:00,2040.0,102.75650601851956,20.074121186871213,91.56679591147524,POSS-I:1009:O,POSS-I Palomar,Palomar Observatory,1954-03-27 04:13:00+00:00,720.0,121.62833333333332,-18.416944444444447,6.5,1.9999998833333332,42.70956522433958,0.992215405574893,720.0,True,85,1.0,True
41,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02474,Harvard DASCH,DASCH unresolved,1951-08-06 08:00:59.999998515+00:00,1740.0,327.8073380183154,35.959453681479324,81.06425817681617,POSS-I:305:E,POSS-I Palomar,Palomar Observatory,1951-08-06 07:51:00+00:00,3000.0,313.8558333333333,0.5533333333333333,6.5,0.5000000166666667,37.70324712623969,0.9714837549923588,1740.0,True,85,1.0,True
42,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02737,Harvard DASCH,DASCH unresolved,1952-05-24 05:10:00.000010966+00:00,2940.0,211.38570939522583,34.01604060801529,80.7976384835205,POSS-I:500:E,POSS-I Palomar,Palomar Observatory,1952-05-24 05:04:00+00:00,4200.0,205.89625,-6.731388888888889,6.5,4.499999816666668,41.07771046239129,0.3601050860084022,2940.0,True,85,0.0726,True
43,POSS-I:236:O,POSS-I Palomar,Palomar Observatory,1951-02-04 06:49:00+00:00,720.0,122.08666666666667,17.575555555555557,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/kg00059,Harvard DASCH,DASCH unresolved,1951-02-04 06:14:29.999986491+00:00,5460.0,78.44874305530132,15.057683774386428,81.8534539934835,4.999999766666666,41.867488098183,0.3110624643687074,720.0,True,85,0.0,False
44,POSS-I:445:E,POSS-I Palomar,Palomar Observatory,1951-12-01 09:00:00+00:00,3000.0,98.02375,11.899444444444445,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/j03761,Harvard DASCH,DASCH unresolved,1951-12-01 09:26:29.999980034+00:00,180.0,94.6892007325087,15.372146309713475,8.229518,2.9999996666666666,4.749415582279492,0.3045835187831072,180.0,True,85,0.1005,True
45,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02481,Harvard DASCH,DASCH unresolved,1951-08-08 10:02:00.000009611+00:00,1680.0,0.4853447367243575,36.15963195227702,81.56959660258153,POSS-I:314:E,POSS-I Palomar,Palomar Observatory,1951-08-08 09:54:00+00:00,3000.0,7.845416666666668,-5.199166666666667,6.5,2.9999998333333333,41.930017839936745,0.273615442776042,1680.0,True,85,0.0586,True
46,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43235,Harvard DASCH,DASCH unresolved,1951-07-31 07:00:59.999998098+00:00,3540.0,324.7411304837886,39.22089161884868,83.78054776256153,POSS-I:297:O,POSS-I Palomar,Palomar Observatory,1951-07-31 07:26:00+00:00,720.0,301.8558333333333,0.42,6.5,1.5000000166666667,44.081709339580094,0.1027606717088074,720.0,True,70,0.7934,True
47,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12840,Harvard DASCH,DASCH unresolved,1952-07-20 09:06:59.999998858+00:00,3240.0,327.02633374851945,1.9243266945242503,90.64300740662544,POSS-I:533:O,POSS-I Palomar,Palomar Observatory,1952-07-20 09:29:00+00:00,600.0,315.72041666666667,48.57305555555556,6.5,1.6666666666666667e-08,47.65163781739508,0.0839564094791725,600.0,True,70,0.2479,True
