raw_match_row,population,locus_ra_deg,locus_dec_deg,physical_plate_id,scan_id,filename_scan,archive_names,institutes,coverage_class,edge_distance_arcsec,physical_plate_exposure_row_count,physical_plate_exposure_ids,resolved_exposure_intervals,best_exposure_id,best_comparison_start_utc,best_comparison_end_utc,best_timing_source,actual_interval_gap_seconds,actual_interval_gap_minutes,temporal_relation,short_lag_tier,multi_exposure_plate,resolved_exposure_count,all_plate_exposures_resolved,v078_plate_recurrence_class,v078_best_separation_arcsec,catalogue_recurrence_bucket,pixel_validation_required,qualified_negative_claimed
292739,PRIMARY_424,85.09138082797885,6.666738984670975,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,1.658910448,STRICT_RECURRENCE,False,False
292740,PRIMARY_424,84.86817786790317,10.30845524762269,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,0.086716508,STRICT_RECURRENCE,False,False
292742,PRIMARY_424,84.47767314921458,7.010041452800837,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,0.708026202,STRICT_RECURRENCE,False,False
292746,PRIMARY_424,85.63172578168715,9.081087710728236,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,0.977878389,STRICT_RECURRENCE,False,False
292747,PRIMARY_424,84.98903162265863,9.699526941150731,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,DIAGNOSTIC_GT3_LE5,3.233982687,DIAGNOSTIC_3TO5,True,False
292753,PRIMARY_424,84.27683330045211,8.972032170783136,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,2.548706413,STRICT_RECURRENCE,False,False
292754,PRIMARY_424,85.038727025195,9.652562116033122,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,1.540243399,STRICT_RECURRENCE,False,False
292756,PRIMARY_424,85.55062716569904,9.906165669011424,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,0.557252088,STRICT_RECURRENCE,False,False
292758,DIAGNOSTIC_179,85.32380486105673,9.264242175105124,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,0.422380384,STRICT_RECURRENCE,False,False
292761,DIAGNOSTIC_179,84.10934155178094,10.089176753479418,7687,10000,DR4/scans/HAM-LA/LA08167_x.fits,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,COVERED_INTERIOR,0.0,1,14122,14122|1953-12-02T21:53:18+00:00|1953-12-02T23:13:05+00:00|3710.000|FOLLOWING|CACHED_UT_END,14122,1953-12-02T21:53:18+00:00,1953-12-02T23:13:05+00:00,CACHED_UT_END,3710.000,61.833333,FOLLOWING,C_GT60_LE120MIN,False,1,True,STRICT_LE3,0.785594169,STRICT_RECURRENCE,False,False
