raw_match_row,population,target_ra_deg,target_dec_deg,catalog_recurrence_class,tier_A_plate_count,tier_B_plate_count,tier_C_plate_count,strict_recurrence_plate_count_in_short_lag,nonstrict_plate_count_requiring_pixel_validation,best_any_short_lag_minutes,best_any_short_lag_tier,best_nonstrict_short_lag_minutes,best_nonstrict_short_lag_tier,has_pixel_validation_queue,candidate_disposition_changed
292721,PRIMARY_424,84.01622442895714,6.222886962771511,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292725,PRIMARY_424,84.48611713683263,9.171127775801445,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292728,DIAGNOSTIC_179,85.1394767401251,9.23459437679201,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292730,PRIMARY_424,85.8514442158669,9.263396089502903,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292733,PRIMARY_424,85.08846765344926,6.4243766554808355,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292737,DIAGNOSTIC_179,85.3237246248391,6.877674807396708,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292738,PRIMARY_424,85.66336505838512,9.247587675156803,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292739,PRIMARY_424,85.09138082797885,6.666738984670975,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292740,PRIMARY_424,84.86817786790317,10.30845524762269,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292742,PRIMARY_424,84.47767314921458,7.010041452800837,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292746,PRIMARY_424,85.63172578168715,9.081087710728236,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292747,PRIMARY_424,84.98903162265863,9.699526941150731,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
292753,PRIMARY_424,84.27683330045211,8.972032170783136,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292754,PRIMARY_424,85.038727025195,9.652562116033122,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292756,PRIMARY_424,85.55062716569904,9.906165669011424,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292758,DIAGNOSTIC_179,85.32380486105673,9.264242175105124,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292761,DIAGNOSTIC_179,84.10934155178094,10.089176753479418,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292766,PRIMARY_424,85.10183894553833,10.114534175520602,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292767,PRIMARY_424,85.90381494253681,9.12855297820251,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292769,PRIMARY_424,85.44739937672041,6.505824535501352,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
292771,PRIMARY_424,84.77416951042045,9.329558432893753,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292772,PRIMARY_424,85.01448985219062,10.07783996219595,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,1,0,61.833333,C_GT60_LE120MIN,,,False,False
292773,PRIMARY_424,84.14077222661253,9.599807592320548,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,0,0,1,0,1,61.833333,C_GT60_LE120MIN,61.833333,C_GT60_LE120MIN,True,False
