obs_id,obs_title,access_url,s_ra,s_dec,s_fov,t_min,t_max,t_exptime,facility_name,instrument_name,dasch_id,plate_class,dasch_table,obs_start_utc,obs_end_utc,source_archive,source_url
ivo://org.gavo.dc/~?dasch/q/adh01839,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-05-09T19:33:07.599985,http://dc.g-vo.org/getproduct/dasch/q/adh01839,,,,34506.81467129616,34506.81467129616,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01839,Lg,dasch.narrow_plates,1953-05-09T19:33:07.599988284+00:00,1953-05-09T19:33:07.599988284+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01826,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-05-07T20:57:46.800000,http://dc.g-vo.org/getproduct/dasch/q/adh01826,,,,34504.87345833331,34504.87345833331,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01826,L2g,dasch.narrow_plates,1953-05-07T20:57:46.799998286+00:00,1953-05-07T20:57:46.799998286+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01835,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-05-09T03:04:49.900017,http://dc.g-vo.org/getproduct/dasch/q/adh01835,,,,34506.12835532427,34506.12835532427,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01835,L2g,dasch.narrow_plates,1953-05-09T03:04:49.900016781+00:00,1953-05-09T03:04:49.900016781+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01859,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-07T19:35:47.000008,http://dc.g-vo.org/getproduct/dasch/q/adh01859,,,,34535.816516203806,34535.816516203806,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01859,L2g,dasch.narrow_plates,1953-06-07T19:35:47.000008821+00:00,1953-06-07T19:35:47.000008821+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01862,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-07T16:53:23.700011,http://dc.g-vo.org/getproduct/dasch/q/adh01862,,,,34535.7037465279,34535.7037465279,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01862,Lg,dasch.narrow_plates,1953-06-07T16:53:23.700010482+00:00,1953-06-07T16:53:23.700010482+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01866,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-07T17:51:04.200007,http://dc.g-vo.org/getproduct/dasch/q/adh01866,,,,34535.74379861122,34535.74379861122,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01866,Lg,dasch.narrow_plates,1953-06-07T17:51:04.200009408+00:00,1953-06-07T17:51:04.200009408+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01871,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-09T16:52:30.700016,http://dc.g-vo.org/getproduct/dasch/q/adh01871,,,,34537.70313310204,34537.70313310204,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01871,L2g,dasch.narrow_plates,1953-06-09T16:52:30.700016316+00:00,1953-06-09T16:52:30.700016316+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01877,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-09T19:20:26.400017,http://dc.g-vo.org/getproduct/dasch/q/adh01877,,,,34537.805861111265,34537.805861111265,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01877,L2g,dasch.narrow_plates,1953-06-09T19:20:26.400013270+00:00,1953-06-09T19:20:26.400013270+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01879,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-09T21:07:38.800009,http://dc.g-vo.org/getproduct/dasch/q/adh01879,,,,34537.88031018525,34537.88031018525,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01879,L2g,dasch.narrow_plates,1953-06-09T21:07:38.800005911+00:00,1953-06-09T21:07:38.800005911+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01882,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-09T16:59:49.500008,http://dc.g-vo.org/getproduct/dasch/q/adh01882,,,,34537.70821180567,34537.70821180567,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01882,L2g,dasch.narrow_plates,1953-06-09T16:59:49.500010017+00:00,1953-06-09T16:59:49.500010017+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01884,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-09T17:34:13.900000,http://dc.g-vo.org/getproduct/dasch/q/adh01884,,,,34537.732105324045,34537.732105324045,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01884,L2g,dasch.narrow_plates,1953-06-09T17:34:13.899997470+00:00,1953-06-09T17:34:13.899997470+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/adh01887,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard observation on 1953-06-09T19:41:22.999998,http://dc.g-vo.org/getproduct/dasch/q/adh01887,,,,34537.82040509256,34537.82040509256,,Harvard-Smithsonian Center for Astrophysics,32-36 inch BakerSchmidt 10 1/2 inch round Armagh-Dunsink-Harvard,adh01887,L2g,dasch.narrow_plates,1953-06-09T19:41:22.999997469+00:00,1953-06-09T19:41:22.999997469+00:00,Harvard DASCH,https://dc.g-vo.org/tap
