pair_index,pair_id,plate_a,plate_b,site_a,site_b,parent_pair_status,downstream_pair_class,eligible_fragment_count,admissible_fragment_count,unresolved_fragment_count,witness_count,parent_pair_row_sha256
265,3320|85996,2486,58111,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,75bb850f64c179ac9ae93e81addedaece573aeb22e677b34f7dd779827eb30eb
266,3320|85997,2486,58112,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,bc67099ae4d30fb2f3c3c7f871b14f092c5e40766b5b1cda1ffe7f1bfafd759a
267,3320|85998,2486,58112,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,8792ee92d6004578f71bba3a79cfe6ff750904b73ac4fea50d324cdc0de7b1fd
287,3400|86067,2562,58147,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,2,5574b514636ef339d68aef104ee5726afbafafea33c5183d8ac5858bd5e530fd
288,3400|86068,2562,58147,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,66cb8e8f1afae2156283ae05e83293a20d2576bab68094c583319391764e10c8
289,3400|86069,2562,58148,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,2fb045c782f0e533963e376ff1a11502d8197793bd50509f47dd7ee0c7a49849
290,3400|86070,2562,58148,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,7852a5047b9047432d8f6b1bd373f86eeee6d1c53c11cea9ccd7ebedb5e218a8
291,3400|86071,2562,58149,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,ef2c079915f2e55a7cb5ac52c5ae18d5f61317ebc6bc78d4785f9c4f41118654
292,3400|86072,2562,58149,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,dc5b4b1e6b6fc1ed3d5debda662d58c4ffc4b87d740b04373fe735dc16543bf9
293,3400|86073,2562,58150,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,14260742b9991b40f5c6ccfdb543d93319e64ae7e2377d22f2617e15ee9866ba
294,3400|86074,2562,58150,"Hamburg-Bergedorf, Germany","Bonn, Germany",FINITE_GEOMETRY_ADMISSIBLE_WITNESS,GEOMETRY_ADMISSIBLE,1,1,0,1,9f867430bec04d5c4ec8ee0701b4fdc2f22e5f995edccfe4e138d1b864b9c21d
