pair_index,canonical_pair,endpoint_a,endpoint_b,detector_coverage_state,endpoint_a_candidates_in_common_polygon,endpoint_b_candidates_in_common_polygon,shifted_endpoint,shift_radius_arcsec,direction,position_angle_deg_east_of_north,control_le_3arcsec_matches,control_le_10arcsec_matches,observed_le_3arcsec_matches,observed_le_10arcsec_matches,fixed_pre_shift_candidate_denominator,population_context_only
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,SE,135.0,23,263,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,S,180.0,16,198,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,SW,225.0,30,254,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,W,270.0,18,218,25,239,True,True
4,APPLAUSE:11788 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11788,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,NW,315.0,18,235,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,N,0.0,15,202,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,NE,45.0,25,247,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,E,90.0,11,236,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,SE,135.0,24,210,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,S,180.0,26,209,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,SW,225.0,18,200,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,W,270.0,19,222,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,60.0,NW,315.0,22,244,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,N,0.0,29,259,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,NE,45.0,21,224,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,E,90.0,22,258,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,SE,135.0,23,263,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,S,180.0,16,198,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,SW,225.0,30,254,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,W,270.0,18,218,25,239,True,True
5,APPLAUSE:11787 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05352,DASCH:bi05352:exp0,APPLAUSE:11787,INCOMPLETE_UNINFORMATIVE_TILE_HOLD,2298,141523,endpoint_b,120.0,NW,315.0,18,235,25,239,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,N,0.0,33,359,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,NE,45.0,35,370,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,E,90.0,38,386,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,SE,135.0,31,407,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,S,180.0,30,381,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,SW,225.0,29,357,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,W,270.0,29,385,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,60.0,NW,315.0,32,419,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,N,0.0,37,352,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,NE,45.0,22,390,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,E,90.0,32,379,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,SE,135.0,32,424,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,S,180.0,23,322,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,SW,225.0,33,398,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,W,270.0,26,356,31,362,True,True
6,APPLAUSE:12565 | APPLAUSE:139011,APPLAUSE:12565,APPLAUSE:139011,COMPLETE_VALID_DETECTOR_COVERAGE,13468,4283,endpoint_b,120.0,NW,315.0,31,324,31,362,True,True
7,APPLAUSE:12568 | APPLAUSE:139012,APPLAUSE:12568,APPLAUSE:139012,COMPLETE_VALID_DETECTOR_COVERAGE,13767,6243,endpoint_b,60.0,N,0.0,57,542,44,522,True,True
