background,centroid_offset_px,concentration_f3_f8,control_candidate_index,control_global_x,control_global_y,control_order,control_selection_mode,control_snr,distance_from_science_px,ellipticity,endpoint_key,error,flux3,flux5,flux8,oriented_center_value,peak_to_flux5,polarity,population,positive_flux_support_r6,raw_match_row,rounded_x,rounded_y,science_candidate_index,science_tile_id,side,sigma_major_px,sigma_minor_px,snr_ratio,usable
370.5,1.570280282984437,0.32868718182874124,201,2382.0,4602.0,12,same_tile_same_polarity_preferred_snr_0.75_1.25,7.190086837999039,299.0,0.2342979181438778,APPLAUSE:132654,,123094.5,221038.0,374503.5,9097.5,0.04115808141586515,-1,PRIMARY_424,263762.0,292670,2382,4602,149,x02048-03072_y04096-05120,B,2.5570023622516134,1.9579020320870828,0.7638758771806631,True
71.5,0.2404228566094588,0.3140841584975138,199,2386.0,4592.0,13,same_tile_same_polarity_preferred_snr_0.75_1.25,7.858319841806987,299.0401310861136,0.02950421152057514,APPLAUSE:132654,,237974.5,505114.5,757677.5,10336.5,0.020463677047481314,-1,PRIMARY_424,601776.5,292670,2386,4592,149,x02048-03072_y04096-05120,B,2.6777031922653936,2.598699670891476,0.834869049230713,True
-916.5,0.9503856345388433,0.33573716149458843,50,2273.0,4234.0,14,same_tile_same_polarity_preferred_snr_0.75_1.25,7.827779181625031,303.1468291109112,0.08150669543457312,APPLAUSE:132654,,239227.5,474289.5,712544.0,10824.5,0.022822558795840938,-1,PRIMARY_424,552749.0,292670,2273,4234,149,x02048-03072_y04096-05120,B,2.5722268145614815,2.3625731069983766,0.8316244050265742,True
-258.0,0.1763685706629652,0.386276844808451,173,2431.0,4536.0,15,same_tile_same_polarity_preferred_snr_0.75_1.25,8.167618005345071,328.67308986286054,0.1655166509295869,APPLAUSE:132654,,238412.0,462615.0,617205.0,10717.0,0.02316613166455908,-1,PRIMARY_424,534321.0,292670,2431,4536,149,x02048-03072_y04096-05120,B,2.7365594395530306,2.2836132860484657,0.867728931358197,True
-706.0,0.23595601098480345,0.326484579459522,238,2363.0,4697.0,16,same_tile_same_polarity_preferred_snr_0.75_1.25,7.879486568651508,331.8870289722092,0.0696123434009207,APPLAUSE:132654,,203220.0,405357.0,622449.0,9928.0,0.02449199101039331,-1,PRIMARY_424,479868.0,292670,2363,4697,149,x02048-03072_y04096-05120,B,2.6845764169320625,2.4976967615105745,0.8371178053861953,True
-156.0,0.23961368235659378,0.3824370366783806,270,2231.0,4796.0,17,same_tile_same_polarity_preferred_snr_0.75_1.25,10.527283469279304,333.325666578498,0.12314263912339696,APPLAUSE:132654,,300145.0,584191.0,784822.0,13289.0,0.022747697242853793,-1,PRIMARY_424,675613.0,292670,2231,4796,149,x02048-03072_y04096-05120,B,2.6874163457410107,2.356480804503107,1.118420135334991,True
-642.0,0.6908558236901207,0.39535714050663734,178,2434.0,4550.0,18,same_tile_same_polarity_preferred_snr_0.75_1.25,8.829830569083732,333.99550895184206,0.12714662946457078,APPLAUSE:132654,,240287.0,457723.0,607772.0,11122.0,0.02429853863581249,-1,PRIMARY_424,529548.0,292670,2434,4550,149,x02048-03072_y04096-05120,B,2.6367436092390997,2.3014905465621007,0.9380824909748289,True
-359.0,0.4490491827090849,0.37253685391806063,116,2430.0,4401.0,19,same_tile_same_polarity_preferred_snr_0.75_1.25,10.93667717922278,335.2193311848229,0.11601035328976417,APPLAUSE:132654,,317027.0,625335.0,850995.0,13904.0,0.022234482317477832,-1,PRIMARY_424,732609.0,292670,2430,4401,149,x02048-03072_y04096-05120,B,2.695209772941833,2.3825375349928257,1.1619141829510207,True
334.0,0.8111667270301883,0.34822963522488576,240,2371.0,4703.0,20,same_tile_same_polarity_preferred_snr_0.75_1.25,7.869294788667222,341.8786334359022,0.10381905342521458,APPLAUSE:132654,,235577.0,457926.0,676499.0,10516.0,0.022964409096666274,-1,PRIMARY_424,535030.0,292670,2371,4703,149,x02048-03072_y04096-05120,B,2.625981006896968,2.353354144448333,0.8360350291901716,True
305.5,0.30231484397597014,0.38249190260292343,214,2427.0,4630.0,21,same_tile_same_polarity_preferred_snr_0.75_1.25,11.479740118218576,351.411439768258,0.13506706535956436,APPLAUSE:132654,,336736.5,661348.5,880375.5,14702.5,0.02223109298652677,-1,PRIMARY_424,762862.5,292670,2427,4630,149,x02048-03072_y04096-05120,B,2.704068008622982,2.3388374781655945,1.2196092690099767,True
