raw_match_row,population,target_ra_deg,target_dec_deg,eligible_physical_plate_count,raw_source_calib_rows_in_15arcsec,eligible_source_calib_rows_in_15arcsec,physical_plates_with_any_source_within_15arcsec,strict_physical_plate_recurrence_count,diagnostic_physical_plate_recurrence_count,wide_5_to_15_physical_plate_context_count,best_eligible_separation_arcsec,distinct_nonnull_gaiaedr3_ids_on_strict_plates,gaiaedr3_ids_repeated_on_2plus_strict_plates,catalog_recurrence_class,candidate_disposition_changed
293549,PRIMARY_424,85.86196756922674,8.779163585357898,908,938,938,453,135,306,12,1.4298845238909823,1,3336070084294910848:135,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293551,PRIMARY_424,86.22475489603367,9.860094375388224,931,1029,1029,517,488,9,20,0.014740396439281335,1,3336309915268238592:485,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293554,PRIMARY_424,86.06809585882138,10.436738630080036,915,987,987,498,448,19,31,0.29228162372392597,1,3336533283629487360:427,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293556,PRIMARY_424,83.80924939455417,9.18401988416636,596,289,289,175,89,51,35,0.1568432149625914,1,3337880911223924608:87,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293558,DIAGNOSTIC_179,84.48162705094073,7.249517300489921,728,867,867,429,345,46,36,1.1417944723011473,1,3333604081575655680:344,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293561,PRIMARY_424,84.29076570258763,10.946607190068166,774,825,825,424,16,335,73,0.7988306282426074,1,3339846253901130240:15,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293564,DIAGNOSTIC_179,83.8393459049889,9.232262829119646,660,321,321,160,44,73,43,0.26807230835315066,1,3337881525403459200:34,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293565,DIAGNOSTIC_179,84.35856495685131,12.254734463452172,760,30,30,22,1,4,15,0.7150165843016589,0,,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,False
293570,PRIMARY_424,84.53947328297315,7.575159733514883,746,770,770,376,329,18,28,0.7802609280065664,1,3334369689561712512:327,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293572,PRIMARY_424,84.43651214810926,7.731016018609313,748,512,512,263,202,38,22,1.4798889480887807,1,3334410023596999424:200,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
