pair_index,pair_id,plate_a,plate_b,site_a,site_b,legacy_infinity_geometry_status,overlap_fragment_count,pair_status,extent_status,witness_fragment_index,witness_time_utc,witness_distance_km,witness_disparity_arcsec,witness_ge2arcsec,deltat_sources,deltat_uncertainty_qualification,published_reference_max_score_arcsec,height107m_max_score_arcsec,cells_processed,cells_certified_empty,cells_unresolved,exact_time_probes,negative_certificate_digest_sha256,input_hold_reason
4911,18666|138916,30776,95786,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,7e7e24dc5c12aa8877dba487ade92fa75b931774c98de68a59858f8986691ecb,
4912,18666|138917,30776,95787,"Boyden Observatory, Bloemfontein, South Africa","Dr. Remeis-Observatory, Bamberg, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,3,2,0,5,7e7e24dc5c12aa8877dba487ade92fa75b931774c98de68a59858f8986691ecb,
4913,18824|92143,30934,61940,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,1e8d62dc245e57d6a14847fc54c1e7591fa8fee12d2cb8fc3a6f3e71f251f07d,
4914,18825|92143,30935,61940,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,afd17097e173fdceee15225a3e946feb879377b02cb749ef466964c0930a6240,
4915,18826|92143,30936,61940,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,1c9a12b6a838fea4774be06fbdff58225271e15dc263ecc709a3c6ede4e9b1bb,
4916,18827|92143,30937,61940,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_POSITIVE,1,FINITE_GEOMETRY_ADMISSIBLE_WITNESS,PARTIAL_UNRESOLVED,1,1964-04-07T23:33:00+00:00,303637.30534527113,5590.391220061984,True,HISTORIC_WITH_ERROR,HISTORIC_DELTAT_ERROR_AVAILABLE,0.0008164586302815939,0.015460350067932005,1,0,0,3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
4917,18828|92143,30938,61940,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,1e8d62dc245e57d6a14847fc54c1e7591fa8fee12d2cb8fc3a6f3e71f251f07d,
4918,18829|92143,30939,61940,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,1,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,1,1,0,3,1e8d62dc245e57d6a14847fc54c1e7591fa8fee12d2cb8fc3a6f3e71f251f07d,
4919,19136|44271,31246,11401,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,2,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,2,2,0,6,5990b27690279ca6034544486d41199a82c78719b0c5c7c8582b38e23edd44c6,
4920,19137|44271,31247,11401,"Boyden Observatory, Bloemfontein, South Africa","Hamburg-Bergedorf, Germany",LEGACY_TANGENT_NONPOSITIVE,2,FINITE_GEOMETRY_CERTIFIED_NONADMISSIBLE,FULL_TIME_DOMAIN_CLASSIFIED,,,,,,,,,,2,2,0,6,5990b27690279ca6034544486d41199a82c78719b0c5c7c8582b38e23edd44c6,
